{'selected number': 78, 'random number': 58, 'selector ': 'Down', 'result': 'Lose'}
{'selected number': 100, 'random number': 15, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 94, 'selector ': 'UP', 'result': 'LOSE'}
{'selected number': 88, 'random number': 39, 'selector ': 'Down', 'result': 'LOSE'}
{'selected number': 88, 'random number': 41, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 66, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 6, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 9, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 98, 'selector ': 'UP', 'result': 'LOSE'}
{'selected number': 88, 'random number': 10, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 38, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 46, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 51, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 24, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 37, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 79, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 71, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 39, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 26, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 70, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 4, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 96, 'selector ': 'UP', 'result': 'LOSE'}
{'selected number': 88, 'random number': 68, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 68, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 70, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 81, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 19, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 72, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 71, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 8, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 63, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 9, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 76, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 61, 'selector ': 'UP', 'result': 'WIN'}
{'selected number': 88, 'random number': 90, 'selector ': 'UP', 'result': 'LOSE'}
{'selected number': 88, 'random number': 90, 'selector ': 'UP', 'result': 'LOSE'}
